rein_id,reae_id,ince_id,rein_tipo
451516233,422509569,,
460966865,422509569,,
469201178,422510824,,
475469763,422510824,,
461638642,422509569,,
473099102,430351791,469483657.0,2.0
472437452,422509569,,
459599579,422509569,,
466385344,422510824,,
471164162,422510824,,
466388634,422510824,,
451519136,422509569,,
473099103,422590802,469483657.0,0.0
473099104,422590802,469483657.0,0.0
450738940,422509569,,
467838527,422510824,,
459619016,422509569,,
453833839,422509569,,
473099154,470705674,468929727.0,2.0
458861613,422509569,,
458861616,422509569,,
450739269,422510824,,
457459341,423338627,449771458.0,0.0
457459342,423338627,449771458.0,0.0
457459343,423338627,449771458.0,0.0
457460607,423338627,446240743.0,0.0
450739565,422510824,,
457460608,423338627,446240743.0,0.0
452318957,422509569,,
457460609,423338627,446240743.0,0.0
461645716,422509569,,
473099155,422590802,468929727.0,0.0
469207852,422509569,,
472498057,422509569,,
453012045,422509569,,
450741130,422509569,,
465744018,422509569,,
473099156,422590802,468929727.0,0.0
473099231,434058358,467486659.0,2.0
458154752,422509569,,
472531047,422510824,,
473099232,422590802,467486659.0,0.0
471201601,423338627,440460816.0,0.0
471201602,423338627,440460816.0,0.0
471201603,423338627,440460816.0,0.0
473099233,422590802,467486659.0,0.0
473099350,424650327,466917219.0,1.0
467123194,422510824,,
463855701,422510824,,
450741930,422510824,,
465748819,422510824,,
452342795,422509569,,
473099351,422590802,466917219.0,0.0
470484118,422510824,,
471230844,422509569,,
473099352,422590802,466917219.0,0.0
462463329,422509569,,
473099403,434058358,466194689.0,1.0
468557850,422510824,,
469236308,422509569,,
473099404,422590802,466194689.0,0.0
473099405,422590802,466194689.0,0.0
483037943,422510824,,
451550427,422509569,,
483879496,422510824,,
466461264,422510824,,
469238044,422509569,,
461031469,422509569,,
462467926,422509569,,
485572578,422510824,,
473101093,423969639,420441311.0,2.0
473101094,422590802,420441311.0,0.0
473101095,422590802,420441311.0,0.0
471267104,423338627,443718906.0,0.0
464582989,422510824,,
451971452,422509569,,
464584147,422509569,,
471267105,423338627,443718906.0,0.0
471267106,423338627,443718906.0,0.0
471268003,423338627,452506977.0,0.0
471268004,423338627,452506977.0,0.0
471268005,423338627,452506977.0,0.0
461066893,422509569,,
468593845,422509569,,
561502656,427489800,443921881.0,0.0
565462678,422509569,,
526115598,422509569,,
463910493,422509569,,
473101329,424650327,420470796.0,1.0
468595778,422509569,,
473101330,422590802,420470796.0,0.0
454693327,422509569,,
473101331,422590802,420470796.0,0.0
471268458,422510824,,
471268473,423338627,451702914.0,0.0
471268474,423338627,451702914.0,0.0
471268475,423338627,451702914.0,0.0
471269003,423338627,449484664.0,0.0
471269004,423338627,449484664.0,0.0
471269005,423338627,449484664.0,0.0
