reap_id,ince_id,recu_id,inst_id_origen,inst_id_destino,apoy_id,reap_tipo_recurso,reap_cantidad_personas,reap_fecha_salida,reap_fecha_requerida,reap_pers_id_contacto,reap_fecha_requerida_inicio,reap_fecha_requerida_fin,reap_tipo_apoyo,reap_recu_id_contacto
6686324,6685898.0,,,6,6686323,7,,,2015-02-12 08:00:00,,2015-02-12,2015-02-14,1.0,3751722.0
6604462,6603862.0,,,6,6604460,7,,,2015-01-31 16:12:00,,2015-01-31,2015-01-31,1.0,3751605.0
6605228,6603862.0,,,6,6605226,3,15.0,,2015-02-01 08:00:00,,2015-02-01,2015-02-03,1.0,3751605.0
6605229,6603862.0,,,6,6605226,3,15.0,,2015-02-01 08:00:00,,2015-02-01,2015-02-03,1.0,3751605.0
6594990,6566544.0,3742845.0,13.0,9,6594803,3,16.0,2015-01-30 12:45:00,2015-01-30 04:09:00,,2015-01-30,2015-02-06,1.0,91.0
6605227,6603862.0,3742905.0,13.0,6,6605226,3,10.0,2015-02-01 10:34:00,2015-02-01 08:00:00,,2015-02-01,2015-02-03,1.0,3751605.0
6584198,6581593.0,,,9,6583682,3,10.0,,2015-01-29 19:34:00,,2015-01-29,2015-01-31,1.0,91.0
6594996,6566544.0,3743470.0,11.0,9,6594803,3,6.0,2015-01-30 10:37:00,2015-01-31 04:09:00,,2015-01-31,2015-01-31,1.0,91.0
6594998,6566544.0,4465275.0,11.0,9,6594803,3,4.0,2015-01-30 10:37:00,2015-01-31 04:09:00,,2015-01-30,2015-02-06,1.0,91.0
6686325,6685898.0,,,6,6686323,7,,,2015-02-12 08:00:00,,2015-02-12,2015-02-14,1.0,3751722.0
6689343,6685837.0,,,6,6689342,3,15.0,,2015-02-12 11:00:00,,2015-02-12,2015-02-12,1.0,3751605.0
6604205,6603862.0,6136140.0,5.0,6,6604204,7,,2015-01-31 16:52:00,2015-02-01 15:50:00,,2015-02-01,2015-02-01,1.0,3751605.0
7046045,6966221.0,3743366.0,10.0,9,7046044,3,13.0,2015-04-11 16:35:00,2015-04-11 19:17:00,,2015-04-11,2015-04-18,1.0,91.0
6604461,6603862.0,3742237.0,5.0,6,6604460,3,9.0,2015-01-31 16:52:00,2015-01-31 16:12:00,,2015-01-31,2015-01-31,1.0,3751605.0
