rece_id,ince_id,rece_nombre,rece_tipo,rece_fecha_salida,rece_tipo_recurso,rece_horometro_salida,rece_tipo_mision
372213892,319262231,AD1,4,2020-12-26 16:59:00,2,,
373782527,368320792,DM1,4,,2,,
359693581,333819051,AA111,4,2021-01-27 15:13:00,2,,
371272596,371272591,El Castaño,6,2021-04-04 10:55:00,1,,
371272597,371272591,CK2,21,2021-04-04 10:55:00,1,,
359693582,333819051,BHA10,5,2021-01-27 15:30:00,2,,
362029875,308016790,BA232,2,2020-11-19 14:41:00,1,,
362826240,354284680,BM312,8,2021-03-05 20:21:00,1,,
362826241,354284680,BM3110,8,2021-03-05 20:35:00,1,,
362826242,354284680,A31,6,2021-03-05 20:19:00,1,,
371272598,371272591,CK2,2,2021-04-05 09:00:00,1,,
358150123,319231122,BA10,2,2021-01-01 09:44:00,1,,
358150124,319231122,BA231,2,2021-01-01 09:44:00,1,,
378602741,375405697,SC1,6,2021-05-06 13:24:00,1,,
378602742,375405697,SC2,6,2021-05-06 12:52:00,1,,
377753482,253552680,H1,8,2020-01-20 18:21:00,1,,
377753483,253552680,146,8,2020-01-20 18:16:00,1,,
379382029,373238143,BA165,2,2021-04-20 06:49:00,1,,
358150125,319231122,AA19,4,2021-01-01 09:44:00,2,,
379382030,373238143,BA151,2,2021-04-20 07:27:00,1,,
379382031,373238143,BHA6,5,2021-04-20 07:53:00,2,,
379382032,373238143,AA16,4,2021-04-20 08:00:00,2,,
371332522,355022265,BM812,8,2021-03-06 10:30:00,1,,
371332523,355022265,BHM318,8,2021-03-06 10:32:00,1,,
371332524,355022265,CM311,8,2021-03-06 10:47:00,1,,
371332525,355022265,SB5,6,2021-03-06 10:26:00,1,,
371332526,355022265,BM811,8,2021-03-06 10:26:00,1,,
362826243,354284680,AV311,99,2021-03-05 20:28:00,1,,
374896099,328415060,W1,5,2020-12-25 18:58:00,2,,
372213893,319262231,Z6,4,2020-12-26 17:36:00,2,,
358150329,319574357,BA155,2,2021-01-01 10:57:00,1,,
358150330,319574357,BA166,2,2021-01-01 11:03:00,1,,
374140044,342428882,BA229,2,2021-02-12 19:52:00,1,,
374140045,342428882,I210 Berto Saez,6,2021-02-12 20:20:00,1,,
374140046,342428882,BA233,2,2021-02-12 20:58:00,1,,
374140047,342428882,BA239,2,2021-02-12 20:58:00,1,,
375546027,365287270,BA176,2,2021-03-19 14:54:00,1,,
358150331,319574357,AA15,4,2021-01-01 11:01:00,2,,
375546028,365287270,SA6,11,2021-03-19 15:17:00,1,,
375546029,365287270,BA151,2,2021-03-19 15:28:00,1,,
358150332,319574357,BHA5,5,2021-01-01 10:57:00,2,,
358150649,319231623,BA246,2,2021-01-01 11:32:00,1,,
358150650,319231623,BA235,2,2021-01-01 11:32:00,1,,
335616373,322771761,BA229,2,2021-01-04 15:36:00,1,,
335616374,322771761,BA234,2,2021-01-04 15:36:00,1,,
335616375,322771761,BA236,2,2021-01-04 15:36:00,1,,
335616376,322771761,S347 Daniel Opazo,6,2021-01-04 15:51:00,1,,
335616377,322771761,BA231,2,2021-01-04 15:53:00,1,,
335616378,322771761,BA240,2,2021-01-04 15:56:00,1,,
335616379,322771761,S343 Raul Aguayo,6,2021-01-04 15:58:00,1,,
379382126,372725168,BA150,2,2021-04-18 11:49:00,1,,
379382127,372725168,I101 Miguel Burboa,6,2021-04-18 11:58:00,1,,
379382128,372725168,BA179,2,2021-04-18 12:06:00,1,,
379635238,368018807,AM6,4,2021-03-19 13:25:00,2,,
374140048,342428882,BHA13,5,2021-02-12 19:54:00,2,,
374140049,342428882,BHA10,5,2021-02-12 19:55:00,2,,
