rece_id,ince_id,rece_nombre,rece_tipo,rece_fecha_salida,rece_tipo_recurso,rece_horometro_salida,rece_tipo_mision
374677720,372729953,BA240,2,2021-04-17 18:32:00,1,,
374677721,372729953,BA242,2,2021-04-17 18:50:00,1,,
374677722,372729953,BA237,2,2021-04-17 19:06:00,1,,
379382129,372725168,AA16,4,2021-04-18 11:49:00,2,,
379635239,368018807,AM5,4,2021-03-19 13:25:00,2,,
376847738,370474693,BA154,2,2021-04-05 19:49:00,1,,
376847739,370474693,I101 Miguel Burboa,6,2021-04-05 20:15:00,1,,
376847740,370474693,BA157,2,2021-04-05 20:20:00,1,,
376847741,370474693,SA6,11,2021-04-05 21:06:00,1,,
379635240,368018807,DM1,4,2021-03-20 09:00:00,2,,
379635241,368018807,DM1,4,,2,,
389085888,388723421,CAR,7,2021-11-23 09:42:00,1,,
389085889,388723421,SC1,6,2021-11-23 09:00:00,1,,
379382130,372725168,AA13,4,2021-04-18 11:56:00,2,,
379574571,308577636,BM614,8,2020-11-23 13:43:00,1,,
374896301,324460185,BM414,8,2020-12-26 01:00:00,1,,
374896302,324460185,SM419,8,2020-12-26 00:48:00,1,,
374896303,324460185,BM413,8,2020-12-26 00:53:00,1,,
379052679,317849151,BHM314,8,2020-12-28 18:00:00,1,,
374240583,355020291,BA246,2,2021-03-06 08:33:00,1,,
379574572,308577636,512B,8,2020-11-23 12:40:00,1,,
358150651,319231623,BHA10,5,2021-01-01 11:36:00,2,,
379052680,317849151,HK11,5,,2,,1.0
358150652,319231623,AA19,4,2021-01-01 11:37:00,2,,
379052681,317849151,AK11,4,,2,,1.0
374677723,372729953,BA234,2,2021-04-17 19:54:00,1,,
357362301,343463890,BA232,2,2021-02-13 20:33:00,1,,
357362302,343463890,BA-E6,2,2021-02-13 20:33:00,1,,
374521091,324602277,BM413,8,2021-01-13 21:40:00,1,,
374521092,324602277,CM313,8,2021-01-14 01:21:00,1,,
374521093,324602277,SB7,6,2021-01-13 21:38:00,1,,
374521279,324602582,BA168,2,2021-01-13 21:21:00,1,,
357362303,343463890,S343 Raul Aguayo,6,2021-02-13 20:49:00,1,,
357362335,337450454,BA180,2,2021-02-04 17:03:00,1,,
357362336,337450454,SA8,11,2021-02-04 17:03:00,1,,
357362337,337450454,I10 Milton Pardo,6,2021-02-04 17:13:00,1,,
291885387,276576496,AD2,4,2020-03-15 14:06:00,2,,
291885388,276576496,Z10,4,,2,,
291885389,276576496,Z1,4,,2,,
291885390,276576496,W5,5,,2,,
374140050,342428882,AA18,4,2021-02-12 19:59:00,2,,
374140051,342428882,AA19,4,2021-02-12 20:05:00,2,,
379052682,317849151,Z7,4,2020-12-28 17:54:00,2,,
357362338,337450454,BHA7,5,2021-02-04 17:08:00,2,,
