reae_id,reae_nombre
422509569,
422510824,
422590800,Ranchillo
422590802,
422696889,Ranchillo
423338627,
423533857,Trehualemu
423969639,Coiquen
424650327,
424991011,Casas Viejas
424992708,El Misti
426152483,
426152485,
427489800,
428303728,
428303730,
429007958,GUARDA FORESTAL
429007961,
429818410,Maicoya
429833368,RANCHILLO
429969494,vocolhue
430351498,
430351689,
430351791,SAN NICOLAS
430436165,CIPRES
432469832,RANCHILLO
432469834,LLOIMAVIDA
432685103,LA SERENA
433260140,NEUQUE
433262998,SAN GENARO
433649587,COIQUEN
434058358,JAUJA
438661265,TOLHUACA
438708428,
438948261,BC-402
440788968,JUAN FERNANDEZ
440970729,ARRAYANES
441365698,
443380475,CUCHA CUCHA
443615429,SANTA MARTA
445302257,EL CASTAÑO
445659378,B22
445915143,Encargado de Emergencia
445915704,CENTRAL ARAUCO
445917012,EL GUPO
445917190,MAQUI-1
445920607,ARRAYANES
445920789,LO LLANILLOS
445921894,IDAHUE
445922837,JEFE FAENA
445934067,CUTEMU
446008294,Cruz del Cipres
446204598,S1
446903530,SAN RAMON
447556758,COIQUEN
447629856,CENTRAL CMPC
448893373,la serena
448893375,vocolhue
448893377,oyama
449224165,
449420735,CUTEMO
450138033,Neuque
451778335,NAME
456348178,Neuque
456596554,RANGUIL
458678135,GUARDA-BOSQUE
462965820,BV7
463222398,3 M
464906623,CONAF
464923100,ANCAMILLA-1
467356088,maicoya
467514489,Juan Fernandez
467572728,RUDY JARA
470377001,Higuierillas
470698258,La Aguada
470705674,EL CIPRES
470960761,
471663808,
472139380,SUPERVISOR B4
472141331,LUGAREÑO
472222588,ENC EMERGENCIA
473123379,Lloimavida
473127098,BK6
473127429,SANTA ROSALIA
475736087,SM3
475736799,OYAMA
477170578,huamaqui
477170580,esquilluco
477200197,
477409593,ENCARGADO DE FAENA
482201709,TANGO VICTOR
485056741,
488438858,BV4
489536370,
492801301,EL PEÑON
493741874,VILLANUEVA
499058880,OPERADOR TORRE EL GUPO
562590125,
564541183,ARAUCO
567198515,SUPERVISOR
