ince_id,dano_uso_suelo,registros,superficie_dano
779861984,7,1,0.0
779861984,8,1,0.0
779862887,7,1,0.01
779862887,8,1,0.03
779862887,10,1,0.03
779901735,1,1,0.0
779901735,2,1,0.0
779901735,3,1,0.0
779901735,4,1,0.0
779901735,5,1,0.0
779901735,6,1,0.0
779901735,7,1,0.08
779901735,8,1,0.0
779901735,9,1,0.0
779901735,10,1,0.0
779950887,8,1,0.8
780055812,10,1,0.01
780136588,10,1,0.001
780171082,8,1,0.03
780250548,8,1,0.2
780280709,1,1,0.0
780280709,2,1,0.0
780280709,3,1,0.0
780280709,4,1,4.6
780280709,5,1,0.0
780280709,6,1,0.0
780280709,7,1,0.0
780280709,8,1,0.0
780280709,9,1,0.0
780280709,10,1,0.0
780281204,7,1,0.5
780281585,7,1,0.1
780281585,8,1,0.05
780284240,7,1,0.07
780284240,8,1,0.1
780286190,8,1,0.3
780315325,7,1,0.5
780405434,1,1,0.0
780405434,2,1,0.0
780405434,3,1,0.0
780405434,4,1,0.0
780405434,5,1,0.01
780405434,6,1,0.0
780405434,7,1,0.3813
780405434,8,1,0.0
780405434,9,1,0.0
780405434,10,1,0.0
780405797,1,1,0.0
780405797,2,1,0.0
780405797,3,1,0.0
780405797,4,1,0.0
780405797,5,1,0.0
780405797,6,1,0.0
780405797,7,1,0.045
780405797,8,1,0.0
780405797,9,1,0.0
780405797,10,1,0.0
780407291,7,1,0.1
780407291,8,1,0.4
780465664,1,1,0.0
780465664,2,1,0.0
780465664,3,1,0.0
780465664,4,1,0.0
780465664,5,1,0.0
780465664,6,1,0.0
780465664,7,1,0.0045
780465664,8,1,0.0
780465664,9,1,0.0
780465664,10,1,0.0
780482292,7,1,0.02
780487987,7,1,0.016
780487987,8,1,0.004
780500065,6,1,1.0
780500065,7,1,2.0
780503721,6,1,0.05
780503721,7,1,0.18
780507299,6,1,0.1
780545025,8,1,0.03
780545025,10,1,0.01
780549281,8,1,0.2
780574699,4,1,0.6
780574699,10,1,0.6
780620275,1,1,0.0
780620275,2,1,0.0
780620275,3,1,0.0
780620275,4,1,0.0
780620275,5,1,0.0
780620275,6,1,0.0
780620275,7,1,0.1
780620275,8,1,0.0
780620275,9,1,0.0
780620275,10,1,0.0
780644984,1,1,0.0
780644984,2,1,0.0
780644984,3,1,0.0
780644984,4,1,0.0
780644984,5,1,0.0
780644984,6,1,0.0
780644984,7,1,0.01
780644984,8,1,0.0
780644984,9,1,0.0
780644984,10,1,0.0
780651790,1,1,0.0
780651790,2,1,0.0
780651790,3,1,0.0
780651790,4,1,0.0
780651790,5,1,0.0
780651790,6,1,0.0
780651790,7,1,0.0
780651790,8,1,0.0
780651790,9,1,0.0
780651790,10,1,0.144
780658474,7,1,0.025
780658474,8,1,0.025
780692951,8,1,1.6
780747561,1,1,0.0
780747561,2,1,0.0
780747561,3,1,0.0
780747561,4,1,0.0
780747561,5,1,0.0
780747561,6,1,0.0
780747561,7,1,0.49
780747561,8,1,0.0
780747561,9,1,0.0
780747561,10,1,0.0
780753299,10,1,0.05
780754148,8,1,0.02
780757481,1,1,0.0
780757481,2,1,0.0
780757481,3,1,0.0
780757481,4,1,0.0
780757481,5,1,0.0
780757481,6,1,0.0
780757481,7,1,0.0
780757481,8,1,0.0
780757481,9,1,0.0
780757481,10,1,3.12
780757881,1,1,0.0
780757881,2,1,0.0
780757881,3,1,0.0
780757881,4,1,0.0
780757881,5,1,0.0
780757881,6,1,0.0
780757881,7,1,0.22
780757881,8,1,0.0
780757881,9,1,0.0
780757881,10,1,0.0
780829485,7,1,0.01
780829485,10,1,0.02
780879072,1,1,0.0
780879072,2,1,0.0
780879072,3,1,0.0
780879072,4,1,0.0
780879072,5,1,0.0
780879072,6,1,0.0
780879072,7,1,0.03
780879072,8,1,0.0
780879072,9,1,0.0
780879072,10,1,0.0
780905678,8,1,0.09
780933205,6,1,0.05
780933205,8,1,0.05
781055550,6,1,1.17
781055550,7,1,1.17
781055550,8,1,0.36
781076496,1,1,0.0
781076496,2,1,0.0
781076496,3,1,0.0
781076496,4,1,0.0
781076496,5,1,0.0
781076496,6,1,0.0
781076496,7,1,0.0
781076496,8,1,0.0
781076496,9,1,0.0
781076496,10,1,0.04
781076601,1,1,0.01
781076601,2,1,0.0
781076601,3,1,0.0
781076601,4,1,0.0
781076601,5,1,0.0
781076601,6,1,0.0
781076601,7,1,0.0
781076601,8,1,0.0
781076601,9,1,0.0
781076601,10,1,0.0
781082413,7,1,2.0
781094566,4,1,0.25
781094566,7,1,2.0
781094566,8,1,0.25
781158524,10,1,0.15
781159819,4,1,0.5
781159819,7,1,1.0
781159819,10,1,0.5
781191700,1,1,0.5
781191700,4,1,1.6
781191700,7,1,0.4
781203554,8,1,0.01
781208552,1,1,0.3
781208552,7,1,0.1
781208552,8,1,0.1
781282766,4,1,0.0025
781282766,7,1,0.0045
781282766,10,1,0.003
781296976,8,1,0.03
781296976,10,1,0.01
781312470,8,1,0.01
781312787,7,1,4.0
781312787,8,1,1.0
781315965,1,1,0.2
781315965,4,1,0.1
781315965,6,1,0.1
781320314,6,1,0.03
781320314,7,1,0.017
781330199,7,1,0.45
781330199,8,1,1.0
781343112,4,1,0.34
781343112,7,1,0.15
781344167,4,1,0.1
781344167,7,1,0.3
781363157,7,1,1.0
781363157,8,1,9.0
781370753,7,1,0.5
781370819,4,1,0.01
781414047,8,1,1.02
781419308,1,1,0.1
781419308,4,1,0.3
781419308,10,1,2.0
781433907,4,1,0.2
781433907,7,1,1.7
781440910,7,1,0.04
781440910,10,1,0.03
781441679,8,1,2.5
781458455,7,1,0.2
781462180,6,1,0.1
781462180,7,1,0.7
781462180,8,1,0.1
781468757,7,1,0.05
781468757,8,1,0.15
781486144,7,1,1.5
781515635,4,1,0.28
781554945,8,1,0.5
781566887,3,1,0.1
781566887,7,1,0.2
781566887,8,1,0.1
781568478,10,1,1.75
781572430,7,1,0.6
781572430,8,1,0.2
781572698,8,1,7.0
781575907,8,1,0.004
781586908,7,1,0.1
781586908,8,1,0.2
781600993,8,1,0.35
781604949,4,1,0.15
781604949,6,1,0.15
781619457,6,1,0.15
781619457,7,1,0.05
781619457,8,1,0.3
781688949,7,1,0.01
781701868,8,1,8.0
781704567,7,1,0.015
781704567,8,1,0.015
781711568,7,1,0.0075
781711568,8,1,0.0025
781711696,2,1,0.5
781711696,4,1,0.5
781732283,7,1,0.01
781732283,8,1,0.0484
781740508,7,1,0.1
781740637,6,1,0.4
781740637,7,1,0.3
781755773,6,1,0.06
781768899,7,1,0.06
781768899,8,1,0.04
781821214,4,1,0.09
781821214,6,1,0.01
781825235,1,1,0.0
781825235,2,1,0.0
781825235,3,1,0.0
781825235,4,1,0.0
781825235,5,1,0.0
781825235,6,1,0.0
781825235,7,1,0.7378
781825235,8,1,0.0
781825235,9,1,0.0
781825235,10,1,0.0
781831752,4,1,0.6
781831752,6,1,0.2
781842626,7,1,0.1
781865256,7,1,0.1
781865256,8,1,0.07
781882474,7,1,0.1
781887657,8,1,0.86
781888426,8,1,0.3
781893326,7,1,0.005
781893326,10,1,0.005
781895192,3,1,0.1
781895192,6,1,0.3
781895192,8,1,0.7
781899087,4,1,1.0
781899087,7,1,3.0
781899796,7,1,0.6
781900615,7,1,0.11
781913899,7,1,0.3
781913899,8,1,0.7
781921184,7,1,0.06
781921184,10,1,0.04
781929563,7,1,0.01
781929563,8,1,0.03
781937824,7,1,0.02
781937824,10,1,0.01
781979454,1,1,0.0
781979454,2,1,0.0
781979454,3,1,0.0
781979454,4,1,0.0
781979454,5,1,0.0
781979454,6,1,0.0
781979454,7,1,0.19
781979454,8,1,0.0
781979454,9,1,0.0
781979454,10,1,0.0
782096227,8,1,2.0
782155544,10,1,0.01
782162618,7,1,0.01
782162618,8,1,0.01
782172451,1,1,0.0
782172451,2,1,0.0
782172451,3,1,0.0
782172451,4,1,0.0
782172451,5,1,0.0
782172451,6,1,0.0
782172451,7,1,0.12
782172451,8,1,0.0
782172451,9,1,0.0
782172451,10,1,0.0
782181599,7,1,0.8
782207036,4,1,1.5
782207036,7,1,1.0
782209331,4,1,0.65
782220390,6,1,1.0
782220390,7,1,0.5
782221225,8,1,0.18
782222344,7,1,0.03
782222916,1,1,0.0
782222916,2,1,0.0
782222916,3,1,0.2
782222916,4,1,0.0
782222916,5,1,0.0
782222916,6,1,0.0
782222916,7,1,0.3
782222916,8,1,0.35
782222916,9,1,0.0
782222916,10,1,0.0
782232808,4,1,1.18
782244062,2,1,0.8
782244062,7,1,0.4
782244062,8,1,0.3
782257001,6,1,0.005
782257001,7,1,0.005
782258887,7,1,0.2
782258887,8,1,0.1
782296577,4,1,0.37
782296577,6,1,0.37
782296577,8,1,1.94
782300582,1,1,0.0
782300582,2,1,0.0
782300582,3,1,0.0
782300582,4,1,0.0
782300582,5,1,0.0
782300582,6,1,0.0
782300582,7,1,0.31
782300582,8,1,0.0
782300582,9,1,0.0
782300582,10,1,0.0
782314669,7,1,0.01
782314669,8,1,0.09
782318566,3,1,0.28
782335547,8,1,0.73
782338919,7,1,0.1
782338919,8,1,0.5
782343749,6,1,0.2
782343749,7,1,0.5
782345439,4,1,0.25
782345439,7,1,0.25
782346563,1,1,0.0
782346563,2,1,0.0
782346563,3,1,0.0
782346563,4,1,0.0
782346563,5,1,0.0
782346563,6,1,0.0
782346563,7,1,0.71
782346563,8,1,0.0
782346563,9,1,0.0
782346563,10,1,0.0
782347863,4,1,0.3
782347863,7,1,0.05
782347863,8,1,0.05
782347905,7,1,2.5
782360979,7,1,0.05
782360979,8,1,0.1
782361494,7,1,0.2
782361494,8,1,2.8
782372466,1,1,0.25
782372466,2,1,0.0
782372466,3,1,0.0
782372466,4,1,0.0
782372466,5,1,0.0
782372466,6,1,0.0
782372466,7,1,0.0
782372466,8,1,0.0
782372466,9,1,0.0
782372466,10,1,0.0
782375005,1,1,0.0
782375005,2,1,0.0
782375005,3,1,0.0
782375005,4,1,0.8
782375005,5,1,0.0
782375005,6,1,0.0
782375005,7,1,0.0
782375005,8,1,0.0
782375005,9,1,0.0
782375005,10,1,0.0
782393109,8,1,0.4
782453697,7,1,0.07
782453697,8,1,0.1
782458775,6,1,0.5
782458775,8,1,1.0
782461831,4,1,0.1
782461831,7,1,0.6
782461831,8,1,0.1
782463075,7,1,0.1
782463075,8,1,0.2
782475572,4,1,0.7
782475572,6,1,0.3
782475572,8,1,5.3
782480268,10,1,0.5
782482101,8,1,0.04
782486227,6,1,0.1
782486227,8,1,0.2
782491129,4,1,0.2
782494658,1,1,0.0
782494658,2,1,0.0
782494658,3,1,0.2
782494658,4,1,0.0
782494658,5,1,0.0
782494658,6,1,0.0
782494658,7,1,0.22
782494658,8,1,0.0
782494658,9,1,0.0
782494658,10,1,0.0
782523425,10,1,0.3
782556496,1,1,0.0
782556496,2,1,0.0
782556496,3,1,0.0
782556496,4,1,0.0
782556496,5,1,0.0
782556496,6,1,0.0
782556496,7,1,0.04
782556496,8,1,0.0
782556496,9,1,0.0
782556496,10,1,0.0
782590195,4,1,0.9
782590195,7,1,0.1
782591522,7,1,0.01
782591522,8,1,0.01
782592043,1,1,0.0
782592043,2,1,0.0
782592043,3,1,0.0
782592043,4,1,0.0
782592043,5,1,0.0
782592043,6,1,0.0
782592043,7,1,0.02
782592043,8,1,0.0
782592043,9,1,0.0
782592043,10,1,0.0
782594541,1,1,0.0
782594541,2,1,0.0
782594541,3,1,0.0
782594541,4,1,0.0
782594541,5,1,0.0
782594541,6,1,0.0
782594541,7,1,0.04
782594541,8,1,0.0
782594541,9,1,0.0
782594541,10,1,0.0
782597892,1,1,0.0
782597892,2,1,0.0
782597892,3,1,0.0
782597892,4,1,0.0
782597892,5,1,0.0
782597892,6,1,0.0
782597892,7,1,0.04
782597892,8,1,0.0
782597892,9,1,0.0
782597892,10,1,0.0
782598743,1,1,0.0
782598743,2,1,0.0
782598743,3,1,0.0
782598743,4,1,0.0
782598743,5,1,0.0
782598743,6,1,0.0
782598743,7,1,0.0
782598743,8,1,0.0
782598743,9,1,0.0
782598743,10,1,0.86
782598936,7,1,1.3
782600559,8,1,0.4
782600559,9,1,3.3
782608206,8,1,0.18
782608206,10,1,0.5
782610770,7,1,0.1
782610770,8,1,0.1
782621845,7,1,0.038
782623965,7,1,0.1
782623965,8,1,0.1
782625910,4,1,0.48
782626621,1,1,0.0
782626621,2,1,0.0
782626621,3,1,0.0
782626621,4,1,0.0
782626621,5,1,0.0
782626621,6,1,0.0
782626621,7,1,0.21
782626621,8,1,0.0
782626621,9,1,0.0
782626621,10,1,0.0
782639562,4,1,1.0
782639562,7,1,0.8
782641405,8,1,0.01
782642721,1,1,0.0
782642721,2,1,0.0
782642721,3,1,0.0
782642721,4,1,1.5
782642721,5,1,0.0
782642721,6,1,0.0
782642721,7,1,0.0
782642721,8,1,0.0
782642721,9,1,0.0
782642721,10,1,0.0
782648054,4,1,0.01
782655463,7,1,0.1
782655463,8,1,0.1
782664892,1,1,0.005
782664892,8,1,0.005
782676687,7,1,0.1
782676687,8,1,0.2
782697849,4,1,0.25
782697849,7,1,0.25
782697849,8,1,1.0
782703109,7,1,0.5
782708722,7,1,0.2
782708722,8,1,0.5
782770047,7,1,1.5
782791692,1,1,0.0
782791692,2,1,0.0
782791692,3,1,0.0
782791692,4,1,0.0
782791692,5,1,0.0
782791692,6,1,0.0
782791692,7,1,0.01
782791692,8,1,0.0
782791692,9,1,0.0
782791692,10,1,0.0
782802199,10,1,0.01
782804924,8,1,0.95
782806835,7,1,0.05
782806835,8,1,0.15
782812901,7,1,0.1
782812901,8,1,0.51
782815690,1,1,0.0
782815690,2,1,0.0
782815690,3,1,0.0
782815690,4,1,0.0
782815690,5,1,0.6
782815690,6,1,0.0
782815690,7,1,0.0
782815690,8,1,0.0
782815690,9,1,0.0
782815690,10,1,0.0
782818369,7,1,0.05
782818369,8,1,0.05
782818786,1,1,0.0
782818786,2,1,0.0
782818786,3,1,0.0
782818786,4,1,0.8
782818786,5,1,0.0
782818786,6,1,0.0
782818786,7,1,1.49
782818786,8,1,0.0
782818786,9,1,0.0
782818786,10,1,0.0
782819040,4,1,1.4
782819040,7,1,0.3
782819307,7,1,0.2
782820514,8,1,0.2
782823566,1,1,0.2
782823566,4,1,2.0
782823566,7,1,1.0
782823566,10,1,4.0
782834728,7,1,0.9
782837269,7,1,0.06
782837269,8,1,0.12
782843600,7,1,0.41
782843600,8,1,0.2
782850590,7,1,0.01
782858348,1,1,0.25
782858348,6,1,0.4
782858348,7,1,0.7
782858348,10,1,1.5
782859846,1,1,0.0
782859846,2,1,0.0
782859846,3,1,0.0
782859846,4,1,0.0
782859846,5,1,0.0
782859846,6,1,0.0
782859846,7,1,0.0
782859846,8,1,0.0
782859846,9,1,0.0
782859846,10,1,2.55
782861369,7,1,0.2
782861369,10,1,0.3
782865027,6,1,0.1
782865027,8,1,0.2
782865803,8,1,0.9
782865851,8,1,0.03
782865851,10,1,0.02
782931150,10,1,0.57
782972678,8,1,0.01
782983849,6,1,4.63
782983849,7,1,27.78
782983849,8,1,50.93
782987667,6,1,0.04
782987667,7,1,0.11
782989133,8,1,0.08
782989983,8,1,0.33
782990396,4,1,0.1
782990396,7,1,0.3
782990396,8,1,0.1
782992286,6,1,0.1
782992286,7,1,0.3
782993022,7,1,0.05
782993022,8,1,0.35
782998050,4,1,0.07
782998050,8,1,0.1
783008117,7,1,0.01
783008117,10,1,0.39
783012096,1,1,0.35
783012096,2,1,0.0
783012096,3,1,0.0
783012096,4,1,0.0
783012096,5,1,0.0
783012096,6,1,0.0
783012096,7,1,0.0
783012096,8,1,0.0
783012096,9,1,0.0
783012096,10,1,0.0
783017406,1,1,0.5
783017406,4,1,1.5
783017406,6,1,2.5
783017406,7,1,1.5
783017406,8,1,0.5
783022967,8,1,0.1
783024944,6,1,0.1
783024944,8,1,1.2
783026373,7,1,0.3
783026373,8,1,0.17
783029663,7,1,1.0
783033522,5,1,0.15
783033522,8,1,0.3
783036902,8,1,0.01
783109540,1,1,0.0
783109540,2,1,0.0
783109540,3,1,0.0
783109540,4,1,0.0
783109540,5,1,0.0
783109540,6,1,0.0
783109540,7,1,0.0
783109540,8,1,0.0
783109540,9,1,0.0
783109540,10,1,0.02
783151166,8,1,0.26
783174892,7,1,0.02
783174892,10,1,0.03
783181340,7,1,0.1
783181340,8,1,0.4
783182934,8,1,0.01
783189751,7,1,0.01
783195121,1,1,0.1
783195121,4,1,0.4
783195121,7,1,0.6
783195121,8,1,0.1
783195121,10,1,0.1
783210182,1,1,0.0
783210182,2,1,0.0
783210182,3,1,0.0
783210182,4,1,0.0
783210182,5,1,0.0
783210182,6,1,0.0
783210182,7,1,0.2
783210182,8,1,0.0
783210182,9,1,0.0
783210182,10,1,0.0
783214009,7,1,0.1
783216281,6,1,0.1
783216281,8,1,0.4
783218768,4,1,0.6
783232756,6,1,0.1
783232756,7,1,0.1
783241205,7,1,0.26
783241205,8,1,0.1
783241205,10,1,0.1
783245552,7,1,0.01
783324102,8,1,0.04
783329962,7,1,0.25
783329962,10,1,4.0
783353721,7,1,1.0
783353721,8,1,1.62
783364089,7,1,0.1
783365538,6,1,0.1
783365538,7,1,0.3
