ince_id,dano_uso_suelo,registros,superficie_dano
777029904,8,1,0.03
777042837,7,1,0.02
777042837,8,1,0.05
777042837,10,1,0.03
777046569,7,1,1.5
777046569,8,1,1.1
777054054,7,1,0.01
777106919,6,1,3.98
777106919,7,1,5.0
777159307,6,1,0.005
777159307,7,1,0.005
777163355,7,1,0.5
777163355,8,1,5.5
777217333,6,1,0.032
777217333,8,1,0.098
777224132,7,1,0.005
777224132,8,1,0.005
777227985,1,1,0.0
777227985,2,1,0.0
777227985,3,1,0.0
777227985,4,1,0.0
777227985,5,1,0.0
777227985,6,1,0.0
777227985,7,1,0.0
777227985,8,1,0.0
777227985,9,1,0.0
777227985,10,1,0.7
777277928,8,1,8.35
777278741,7,1,0.13
777278741,8,1,0.13
777325818,7,1,0.27
777325818,8,1,2.0
777328783,7,1,0.01
777341661,7,1,0.5
777341661,8,1,1.0
777383343,6,1,0.1
777383343,7,1,0.05
777383343,8,1,0.02
777394823,9,1,0.001
777401548,10,1,0.003
777464629,7,1,0.005
777464629,10,1,0.005
777513421,1,1,0.15
777513421,2,1,0.0
777513421,3,1,0.0
777513421,4,1,0.0
777513421,5,1,0.0
777513421,6,1,0.0
777513421,7,1,0.0
777513421,8,1,0.0
777513421,9,1,0.0
777513421,10,1,0.0
777522605,6,1,6.18
777569245,6,1,0.1
777579309,8,1,0.2
777589985,8,1,0.0
777683828,7,1,0.65
777683828,8,1,0.06
777710624,4,1,0.01
777712859,1,1,0.0
777712859,2,1,0.0
777712859,3,1,0.0
777712859,4,1,0.0
777712859,5,1,0.0
777712859,6,1,0.0
777712859,7,1,0.0
777712859,8,1,0.0
777712859,9,1,0.0
777712859,10,1,0.01
777736889,1,1,0.0
777736889,2,1,0.0
777736889,3,1,0.0
777736889,4,1,0.0
777736889,5,1,0.0
777736889,6,1,0.0
777736889,7,1,1.6
777736889,8,1,0.0
777736889,9,1,0.0
777736889,10,1,0.0
777737520,1,1,0.0
777737520,2,1,0.0
777737520,3,1,0.0
777737520,4,1,0.0
777737520,5,1,0.0
777737520,6,1,0.0
777737520,7,1,1.1
777737520,8,1,0.0
777737520,9,1,0.0
777737520,10,1,0.0
777737789,1,1,0.0
777737789,2,1,0.0
777737789,3,1,0.0
777737789,4,1,0.0
777737789,5,1,0.0
777737789,6,1,0.0
777737789,7,1,0.5
777737789,8,1,0.0
777737789,9,1,0.0
777737789,10,1,0.0
777749201,1,1,0.0
777749201,2,1,0.0
777749201,3,1,0.0
777749201,4,1,0.0
777749201,5,1,0.0
777749201,6,1,0.0
777749201,7,1,0.01
777749201,8,1,0.0
777749201,9,1,0.0
777749201,10,1,0.0
777749390,1,1,0.0
777749390,2,1,0.0
777749390,3,1,0.0
777749390,4,1,0.0
777749390,5,1,0.0
777749390,6,1,0.0
777749390,7,1,0.28
777749390,8,1,0.0
777749390,9,1,0.0
777749390,10,1,0.0
777752053,1,1,0.0
777752053,2,1,0.0
777752053,3,1,0.0
777752053,4,1,0.0
777752053,5,1,0.0
777752053,6,1,0.0
777752053,7,1,0.14
777752053,8,1,0.0
777752053,9,1,0.0
777752053,10,1,0.0
777792805,8,1,0.005
777792805,10,1,0.005
777794962,6,1,0.2
777794962,7,1,0.2
777794962,10,1,13.5
777815348,1,1,0.0
777815348,2,1,0.0
777815348,3,1,0.0
777815348,4,1,0.0
777815348,5,1,0.0
777815348,6,1,0.0
777815348,7,1,0.0
777815348,8,1,0.0
777815348,9,1,0.0
777815348,10,1,0.01
777815830,1,1,0.0
777815830,2,1,0.0
777815830,3,1,0.0
777815830,4,1,0.0
777815830,5,1,0.0
777815830,6,1,0.0
777815830,7,1,0.0
777815830,8,1,0.0
777815830,9,1,0.0
777815830,10,1,0.04
777832319,1,1,0.0
777832319,2,1,0.0
777832319,3,1,0.0
777832319,4,1,0.0
777832319,5,1,0.0
777832319,6,1,0.0
777832319,7,1,0.0
777832319,8,1,0.0
777832319,9,1,0.0
777832319,10,1,0.07
777842503,7,1,0.05
777842503,10,1,0.1
777849249,7,1,0.2
777849678,8,1,1.5
777893617,1,1,0.0
777893617,2,1,0.0
777893617,3,1,0.0
777893617,4,1,0.0
777893617,5,1,0.0
777893617,6,1,0.0
777893617,7,1,0.034
777893617,8,1,0.0
777893617,9,1,0.0
777893617,10,1,0.0
777895185,7,1,0.12
777895185,8,1,0.28
777898540,7,1,0.1
777898540,8,1,4.0
777928340,7,1,0.02
777929397,7,1,0.01
777929397,8,1,0.01
777934669,7,1,0.1
777936653,7,1,0.3
777936653,8,1,1.7
777937998,8,1,0.05
777960792,7,1,0.01
777975123,7,1,0.02
777985037,6,1,0.16
777985037,7,1,2.95
777989779,8,1,0.1
777994595,7,1,0.07
777997560,6,1,1.58
777997560,7,1,3.15
777997560,9,1,6.31
778009448,7,1,30.0
778009448,8,1,21.41
778023200,1,1,0.0
778023200,2,1,0.0
778023200,3,1,0.0
778023200,4,1,0.0
778023200,5,1,0.0
778023200,6,1,0.0
778023200,7,1,0.4
778023200,8,1,0.0
778023200,9,1,0.0
778023200,10,1,0.0
778281891,1,1,0.0
778281891,2,1,0.0
778281891,3,1,0.0
778281891,4,1,0.0
778281891,5,1,0.0
778281891,6,1,0.0
778281891,7,1,1.7
778281891,8,1,0.0
778281891,9,1,0.0
778281891,10,1,0.0
778282240,1,1,0.0
778282240,2,1,0.0
778282240,3,1,0.0
778282240,4,1,0.0
778282240,5,1,0.0
778282240,6,1,0.0
778282240,7,1,1.0
778282240,8,1,0.0
778282240,9,1,0.0
778282240,10,1,0.0
778304028,7,1,1.3
778304028,8,1,0.2
778312184,7,1,0.005
778312184,8,1,0.005
778323219,8,1,0.1
778327692,7,1,0.01
778337384,7,1,4.07
778357029,6,1,0.02
778357029,7,1,0.03
778362108,7,1,0.005
778362108,8,1,0.005
778389154,8,1,1.7
778467128,6,1,2.17
778467128,7,1,2.17
778467128,8,1,1.08
778472153,4,1,0.005
778472153,8,1,0.005
778476326,8,1,0.43
778511172,6,1,0.04
778511172,7,1,0.02
778511172,10,1,0.02
778537618,6,1,0.5
778537618,7,1,1.5
778537618,8,1,0.5
778617546,1,1,0.0
778617546,2,1,0.0
778617546,3,1,0.0
778617546,4,1,0.0
778617546,5,1,0.0
778617546,6,1,0.0
778617546,7,1,0.01
778617546,8,1,0.0
778617546,9,1,0.0
778617546,10,1,0.0
778634642,8,1,0.005
778691899,6,1,0.1
778691899,7,1,0.7
778691899,8,1,0.2
778777864,1,1,0.0
778777864,2,1,0.0
778777864,3,1,0.0
778777864,4,1,0.0
778777864,5,1,0.0
778777864,6,1,0.0
778777864,7,1,0.012
778777864,8,1,0.0
778777864,9,1,0.0
778777864,10,1,0.0
778843629,7,1,0.2
778862568,6,1,17.5
778862568,7,1,10.0
778862568,8,1,7.5
778908214,7,1,0.1
778926563,10,1,0.01
778929969,6,1,0.05
778929969,7,1,0.1
778944574,2,1,0.05
778944574,4,1,0.05
778944574,10,1,0.5
779001124,7,1,0.1
779003018,6,1,0.3
779003018,7,1,0.3
779004887,10,1,0.01
779022271,10,1,0.01
779022390,10,1,3.0
779023075,8,1,0.01
779085303,4,1,0.2
779085303,6,1,0.1
779085303,7,1,0.1
779085303,8,1,0.85
779087574,8,1,0.2
779097116,7,1,0.05
779097116,8,1,0.1
779103362,8,1,0.11
779117549,6,1,1.2
779117549,7,1,1.8
779117549,8,1,9.0
779152683,8,1,0.73
779186955,7,1,0.0
779186955,8,1,0.0
779209761,7,1,0.101
779218515,1,1,0.0
779218515,2,1,0.0
779218515,3,1,0.0
779218515,4,1,0.0
779218515,5,1,0.0
779218515,6,1,0.0
779218515,7,1,0.0
779218515,8,1,0.0
779218515,9,1,0.0
779218515,10,1,0.26
779275455,10,1,0.018
779275912,6,1,0.5
779275912,7,1,2.0
779275912,8,1,5.0
779279008,10,1,0.8
779300400,1,1,0.0
779300400,2,1,0.0
779300400,3,1,0.0
779300400,4,1,0.0
779300400,5,1,0.0
779300400,6,1,0.0
779300400,7,1,0.58
779300400,8,1,0.0
779300400,9,1,0.0
779300400,10,1,0.0
779315945,8,1,0.1
779372423,7,1,1.0
779377113,1,1,0.4
779377113,2,1,0.0
779377113,3,1,0.0
779377113,4,1,0.0
779377113,5,1,0.0
779377113,6,1,0.0
779377113,7,1,0.55
779377113,8,1,0.0
779377113,9,1,0.0
779377113,10,1,0.1
779384350,8,1,0.01
779391720,6,1,0.25
779391720,7,1,0.25
779392018,8,1,0.01
779392517,8,1,0.01
779471523,4,1,2.5
779471523,7,1,2.0
779471523,8,1,3.0
779471523,10,1,0.5
779479684,8,1,5.2
779560501,10,1,0.1
779563342,7,1,0.04
779583822,7,1,0.4
779626600,1,1,0.0
779626600,2,1,0.0
779626600,3,1,0.0
779626600,4,1,0.0
779626600,5,1,0.0
779626600,6,1,0.0
779626600,7,1,0.25
779626600,8,1,0.0
779626600,9,1,0.0
779626600,10,1,0.0
779633475,1,1,0.0
779633475,2,1,0.0
779633475,3,1,0.0
779633475,4,1,0.0
779633475,5,1,0.0
779633475,6,1,0.0
779633475,7,1,0.27
779633475,8,1,0.0
779633475,9,1,0.0
779633475,10,1,0.0
779633837,1,1,0.0
779633837,2,1,0.0
779633837,3,1,0.0
779633837,4,1,0.0
779633837,5,1,0.0
779633837,6,1,0.0
779633837,7,1,0.27
779633837,8,1,0.0
779633837,9,1,0.0
779633837,10,1,0.0
779662624,1,1,0.0
779662624,2,1,0.0
779662624,3,1,0.0
779662624,4,1,0.0
779662624,5,1,0.0
779662624,6,1,0.0
779662624,7,1,0.01
779662624,8,1,0.0
779662624,9,1,0.0
779662624,10,1,0.0
779663781,4,1,0.02
779680918,6,1,0.1
779680918,10,1,0.4
779687895,8,1,0.01
779700931,7,1,0.01
779701104,8,1,0.01
779759798,1,1,0.0
779759798,2,1,0.0
779759798,3,1,0.0
779759798,4,1,0.0
779759798,5,1,0.0
779759798,6,1,0.0
779759798,7,1,0.0005
779759798,8,1,0.0
779759798,9,1,0.0
779759798,10,1,0.0
779761375,1,1,0.0
779761375,2,1,0.0
779761375,3,1,0.0
779761375,4,1,0.0
779761375,5,1,0.0
779761375,6,1,0.0
779761375,7,1,0.37
779761375,8,1,0.0
779761375,9,1,0.0
779761375,10,1,0.0
779767830,8,1,0.15
779772842,1,1,0.0
779772842,2,1,0.0
779772842,3,1,0.0
779772842,4,1,0.0
779772842,5,1,0.0
779772842,6,1,0.0
779772842,7,1,0.01
779772842,8,1,0.0
779772842,9,1,0.0
779772842,10,1,0.0
779777867,6,1,6.88
779777867,7,1,3.44
779777867,8,1,5.16
779822303,4,1,0.05
